"id","URI","expression"
2887505,"/repositories/6/archival_objects/2621326","2/1956"
2887502,"/repositories/6/archival_objects/2621324","12/1965"
2887484,"/repositories/6/archival_objects/2621310","4/1962"
2887482,"/repositories/6/archival_objects/2621306","6-7/1960"
2887473,"/repositories/11/archival_objects/2860810","November 15"
2887351,"/repositories/12/archival_objects/1230616","1862, 1863"
2887261,"/repositories/11/archival_objects/2860679","September 8"
2887192,"/repositories/10/archival_objects/2224419","1967-2002"
2887188,"/repositories/12/archival_objects/2860626","1970-1971"
2887183,"/repositories/12/archival_objects/2860622",1970
2887181,"/repositories/12/archival_objects/2860621","1969-1970"
2887147,"/repositories/10/archival_objects/2583867","1991-2003"
2887103,"/repositories/12/archival_objects/2860543","1968-1979"
2887101,"/repositories/12/archival_objects/2860541","1968-1969"
2887100,"/repositories/12/archival_objects/2860540",1969
2887099,"/repositories/12/archival_objects/2860539","1967-1968"
2887095,"/repositories/12/archival_objects/2860537","1967-1968"
2887090,"/repositories/12/archival_objects/2860534","1967-1979"
2887085,"/repositories/11/archival_objects/2860532","September 11"
2887075,"/repositories/11/archival_objects/2860528","September 9"
2887072,"/repositories/11/archival_objects/2860527","September 8"
2887071,"/repositories/11/archival_objects/2860526","September 9"
2887069,"/repositories/11/archival_objects/2860525","September 4"
2887068,"/repositories/11/archival_objects/2860524","September 5"
2887067,"/repositories/11/archival_objects/2860523","September 8"
2887033,"/repositories/11/archival_objects/2860517","September 11"
2887022,"/repositories/11/archival_objects/2860515","September 15"
2887002,"/repositories/11/archival_objects/2860510","September 5"
2886936,"/repositories/11/archival_objects/2860478","August 19"
2886889,"/repositories/11/archival_objects/2860467",1984
2886782,"/repositories/6/archival_objects/2621247","5/1963"
2886744,"/repositories/6/archival_objects/2621220","2/1961"
2886742,"/repositories/6/archival_objects/2621218","5/1976"
2886734,"/repositories/6/archival_objects/2621210","8/1962"
2886719,"/repositories/6/archival_objects/2621198","1/1959"
2886718,"/repositories/6/archival_objects/2621197","5/1962"
2886714,"/repositories/6/archival_objects/2621194","11/1938"
2886705,"/repositories/6/archival_objects/2621179","9/1961"
2886703,"/repositories/6/archival_objects/2621177","6/1960"
